book_authors,book_title,genres,comb
Robert M. Pirsig,zen and the art of motorcycle maintenance: an inquiry into values,Philosophy Fiction Classics Spirituality,Robert M. Pirsig zen and the art of motorcycle maintenance: an inquiry into values Philosophy Fiction Classics Spirituality
Daniel Defoe Gerald McCann Virginia Woolf,robinson crusoe,Classics Fiction Adventure Literature,Daniel Defoe Gerald McCann Virginia Woolf robinson crusoe Classics Fiction Adventure Literature
Boris Pasternak Max Hayward Manya Harari John Bayley,doctor zhivago,Classics Fiction Historical Historical Fiction Cultural Russia Literature Russian Literature,Boris Pasternak Max Hayward Manya Harari John Bayley doctor zhivago Classics Fiction Historical Historical Fiction Cultural Russia Literature Russian Literature
Laura Esquivel Thomas  Christensen Carol Christensen,like water for chocolate,Fiction Romance Magical Realism Historical Historical Fiction Classics Fantasy Food and Drink Food,Laura Esquivel Thomas  Christensen Carol Christensen like water for chocolate Fiction Romance Magical Realism Historical Historical Fiction Classics Fantasy Food and Drink Food
Hermann Hesse Basil Creighton,steppenwolf,Fiction Classics Philosophy European Literature German Literature Literature,Hermann Hesse Basil Creighton steppenwolf Fiction Classics Philosophy European Literature German Literature Literature
Truman Capote,breakfast at tiffany's,Classics Fiction Short Stories,Truman Capote breakfast at tiffany's Classics Fiction Short Stories
Jojo Moyes,me before you,Romance Fiction Contemporary Womens Fiction Chick Lit,Jojo Moyes me before you Romance Fiction Contemporary Womens Fiction Chick Lit
Philip Pullman,the amber spyglass,Fantasy Young Adult Fiction,Philip Pullman the amber spyglass Fantasy Young Adult Fiction
Ernest Cline,ready player one,Science Fiction Fiction Young Adult Science Fiction Dystopia Fantasy,Ernest Cline ready player one Science Fiction Fiction Young Adult Science Fiction Dystopia Fantasy
Stephen King,'salem's lot,Horror Fiction Paranormal Vampires Fantasy,Stephen King 'salem's lot Horror Fiction Paranormal Vampires Fantasy
Dante Alighieri Anthony M. Esolen,inferno,Classics Poetry Fiction Literature,Dante Alighieri Anthony M. Esolen inferno Classics Poetry Fiction Literature
Alyson Noel,evermore,Young Adult Fantasy Fantasy Paranormal Romance,Alyson Noel evermore Young Adult Fantasy Fantasy Paranormal Romance
Victor Hugo Walter J. Cobb,the hunchback of notre-dame,Classics Fiction Historical Historical Fiction Cultural France,Victor Hugo Walter J. Cobb the hunchback of notre-dame Classics Fiction Historical Historical Fiction Cultural France
David Mitchell,cloud atlas,Fiction Science Fiction Fantasy Historical Historical Fiction,David Mitchell cloud atlas Fiction Science Fiction Fantasy Historical Historical Fiction
Tahereh Mafi,shatter me,Young Adult Science Fiction Dystopia Romance Fantasy,Tahereh Mafi shatter me Young Adult Science Fiction Dystopia Romance Fantasy
Roald Dahl Quentin Blake,the bfg,Childrens Fantasy Fiction,Roald Dahl Quentin Blake the bfg Childrens Fantasy Fiction
Rohinton Mistry,a fine balance,Fiction Cultural India Historical Historical Fiction,Rohinton Mistry a fine balance Fiction Cultural India Historical Historical Fiction
Diana Gabaldon,dragonfly in amber,Historical Historical Fiction Romance Fantasy Fiction Science Fiction Time Travel Historical,Diana Gabaldon dragonfly in amber Historical Historical Fiction Romance Fantasy Fiction Science Fiction Time Travel Historical
Charles Darwin Sevim Belli,the origin of species,Science Nonfiction Classics Science Biology Biology Evolution Philosophy,Charles Darwin Sevim Belli the origin of species Science Nonfiction Classics Science Biology Biology Evolution Philosophy
Tennessee Williams,a streetcar named desire,Plays Classics Drama Fiction Academic School,Tennessee Williams a streetcar named desire Plays Classics Drama Fiction Academic School
James Patterson,the angel experiment,Young Adult Fantasy Science Fiction,James Patterson the angel experiment Young Adult Fantasy Science Fiction
Emma Donoghue,room,Fiction Contemporary Adult Adult Fiction,Emma Donoghue room Fiction Contemporary Adult Adult Fiction
Arthur Miller,death of a salesman,Academic School Classics Academic Read For School Plays Plays Theatre Young Adult High School,Arthur Miller death of a salesman Academic School Classics Academic Read For School Plays Plays Theatre Young Adult High School
J.R.R. Tolkien Bernd Lau,the lord of the rings,Fantasy Classics Fiction,J.R.R. Tolkien Bernd Lau the lord of the rings Fantasy Classics Fiction
Philip Pullman,the subtle knife,Fantasy Young Adult Fiction,Philip Pullman the subtle knife Fantasy Young Adult Fiction
Kurt Vonnegut,breakfast of champions,Fiction Classics Science Fiction Humor Literature,Kurt Vonnegut breakfast of champions Fiction Classics Science Fiction Humor Literature
Brandon Sanderson,the final empire,Fantasy Fiction Fantasy Epic Fantasy Fantasy High Fantasy,Brandon Sanderson the final empire Fantasy Fiction Fantasy Epic Fantasy Fantasy High Fantasy
Bret Easton Ellis,american psycho,Fiction Horror Classics Thriller Mystery Crime,Bret Easton Ellis american psycho Fiction Horror Classics Thriller Mystery Crime
Lisa See,snow flower and the secret fan,Historical Historical Fiction Fiction Cultural China Historical Cultural Asia,Lisa See snow flower and the secret fan Historical Historical Fiction Fiction Cultural China Historical Cultural Asia
John Berendt,midnight in the garden of good and evil,Nonfiction Crime True Crime Mystery Mystery Crime,John Berendt midnight in the garden of good and evil Nonfiction Crime True Crime Mystery Mystery Crime
Johann Wolfgang von Goethe Peter Salm,faust: first part,Classics Fiction Plays Poetry European Literature German Literature Drama,Johann Wolfgang von Goethe Peter Salm faust: first part Classics Fiction Plays Poetry European Literature German Literature Drama
Annie Proulx,the shipping news,Fiction Contemporary Literature,Annie Proulx the shipping news Fiction Contemporary Literature
David Foster Wallace,infinite jest,Fiction Classics Abandoned Literature Novels,David Foster Wallace infinite jest Fiction Classics Abandoned Literature Novels
Niccolò Machiavelli Rufus Goodwin Benjamin Martinez,the prince,Classics Philosophy Nonfiction Politics History,Niccolò Machiavelli Rufus Goodwin Benjamin Martinez the prince Classics Philosophy Nonfiction Politics History
Stephanie Perkins,anna and the french kiss,Young Adult Romance Contemporary Womens Fiction Chick Lit,Stephanie Perkins anna and the french kiss Young Adult Romance Contemporary Womens Fiction Chick Lit
Ki Longfellow,houdini heart,Horror Fantasy Fiction Mystery Magical Realism Literature,Ki Longfellow houdini heart Horror Fantasy Fiction Mystery Magical Realism Literature
Brandon Sanderson,the way of kings,Fantasy Fiction Fantasy Epic Fantasy Fantasy High Fantasy,Brandon Sanderson the way of kings Fantasy Fiction Fantasy Epic Fantasy Fantasy High Fantasy
Laini Taylor,daughter of smoke & bone,Fantasy Young Adult Romance Fantasy Paranormal Paranormal Angels,Laini Taylor daughter of smoke & bone Fantasy Young Adult Romance Fantasy Paranormal Paranormal Angels
Emmuska Orczy,the scarlet pimpernel,Classics Historical Historical Fiction Fiction Adventure Romance Historical,Emmuska Orczy the scarlet pimpernel Classics Historical Historical Fiction Fiction Adventure Romance Historical
Colleen Hoover,hopeless,Romance New Adult Young Adult Contemporary,Colleen Hoover hopeless Romance New Adult Young Adult Contemporary
Chaim Potok,the chosen,Fiction Classics Historical Historical Fiction Young Adult Literature Jewish Religion Literature,Chaim Potok the chosen Fiction Classics Historical Historical Fiction Young Adult Literature Jewish Religion Literature
Nick Hornby,high fidelity,Fiction Music Contemporary Humor Romance,Nick Hornby high fidelity Fiction Music Contemporary Humor Romance
V.C. Andrews,flowers in the attic,Fiction Horror Mystery,V.C. Andrews flowers in the attic Fiction Horror Mystery
Cassandra Clare,city of heavenly fire,Fantasy Young Adult Fantasy Paranormal Romance,Cassandra Clare city of heavenly fire Fantasy Young Adult Fantasy Paranormal Romance
J.K. Rowling,the tales of beedle the bard,Fantasy Young Adult Fiction Short Stories,J.K. Rowling the tales of beedle the bard Fantasy Young Adult Fiction Short Stories
Albert Camus Stuart Gilbert,the plague,Fiction Classics Philosophy Cultural France Literature,Albert Camus Stuart Gilbert the plague Fiction Classics Philosophy Cultural France Literature
Ally Condie,matched,Young Adult Science Fiction Dystopia Romance,Ally Condie matched Young Adult Science Fiction Dystopia Romance
Jodi Picoult,nineteen minutes,Fiction Contemporary Womens Fiction Chick Lit,Jodi Picoult nineteen minutes Fiction Contemporary Womens Fiction Chick Lit
Kazuo Ishiguro,the remains of the day,Fiction Historical Historical Fiction Classics Literature Literary Fiction Historical,Kazuo Ishiguro the remains of the day Fiction Historical Historical Fiction Classics Literature Literary Fiction Historical
Laura Hillenbrand,"unbroken: a world war ii story of survival, resilience and redemption",Nonfiction History Biography War War World War II,"Laura Hillenbrand unbroken: a world war ii story of survival, resilience and redemption Nonfiction History Biography War War World War II"
Bernhard Schlink Carol Brown Janeway,the reader,Fiction Historical Historical Fiction European Literature German Literature World War II Holocaust,Bernhard Schlink Carol Brown Janeway the reader Fiction Historical Historical Fiction European Literature German Literature World War II Holocaust
Susanna Clarke,jonathan strange & mr norrell,Fantasy Fiction Historical Historical Fiction Historical Fantasy Magic,Susanna Clarke jonathan strange & mr norrell Fantasy Fiction Historical Historical Fiction Historical Fantasy Magic
P.C. Cast Kristin Cast,betrayed,Young Adult Paranormal Vampires Fantasy Fantasy Paranormal,P.C. Cast Kristin Cast betrayed Young Adult Paranormal Vampires Fantasy Fantasy Paranormal
R.J. Palacio Raquel Jaramillo,wonder,Young Adult Fiction Realistic Fiction Contemporary Childrens Middle Grade,R.J. Palacio Raquel Jaramillo wonder Young Adult Fiction Realistic Fiction Contemporary Childrens Middle Grade
Jeffrey Eugenides,the virgin suicides,Fiction Contemporary Young Adult Classics,Jeffrey Eugenides the virgin suicides Fiction Contemporary Young Adult Classics
George R.R. Martin,a feast for crows,Fantasy Fiction Fantasy Epic Fantasy,George R.R. Martin a feast for crows Fantasy Fiction Fantasy Epic Fantasy
Sarah J. Maas,a court of mist and fury,Fantasy Romance Young Adult New Adult,Sarah J. Maas a court of mist and fury Fantasy Romance Young Adult New Adult
Cormac McCarthy,"blood meridian, or the evening redness in the west",Fiction Westerns Historical Historical Fiction Classics Literature Novels,"Cormac McCarthy blood meridian, or the evening redness in the west Fiction Westerns Historical Historical Fiction Classics Literature Novels"
Eoin Colfer,artemis fowl,Fantasy Young Adult Fiction Childrens,Eoin Colfer artemis fowl Fantasy Young Adult Fiction Childrens
Edith Wharton Maureen Howard,the age of innocence,Classics Fiction Historical Historical Fiction Romance Literature,Edith Wharton Maureen Howard the age of innocence Classics Fiction Historical Historical Fiction Romance Literature
P.C. Cast Kristin Cast,untamed,Young Adult Paranormal Vampires Fantasy Fantasy Paranormal,P.C. Cast Kristin Cast untamed Young Adult Paranormal Vampires Fantasy Fantasy Paranormal
J.K. Rowling John Tiffany Ien van Laanen Yuko Matsuoka Wiebe Buddingh' Jack Thorne,harry potter series box set,Fantasy Young Adult Fiction,J.K. Rowling John Tiffany Ien van Laanen Yuko Matsuoka Wiebe Buddingh' Jack Thorne harry potter series box set Fantasy Young Adult Fiction
John Steinbeck,east of eden,Classics Fiction Historical Historical Fiction Literature,John Steinbeck east of eden Classics Fiction Historical Historical Fiction Literature
Astrid Lindgren Florence Lamborn Louis S. Glanzman,pippi longstocking,Childrens Classics Fiction,Astrid Lindgren Florence Lamborn Louis S. Glanzman pippi longstocking Childrens Classics Fiction
Ransom Riggs,miss peregrine's home for peculiar children,Fantasy Young Adult Fiction Fantasy Paranormal,Ransom Riggs miss peregrine's home for peculiar children Fantasy Young Adult Fiction Fantasy Paranormal
William Gibson,neuromancer,Science Fiction Fiction Science Fiction Cyberpunk,William Gibson neuromancer Science Fiction Fiction Science Fiction Cyberpunk
Andy Weir,the martian,Science Fiction Fiction,Andy Weir the martian Science Fiction Fiction
Francine Rivers,redeeming love,Christian Fiction Christian Fiction Romance Historical Historical Fiction Historical,Francine Rivers redeeming love Christian Fiction Christian Fiction Romance Historical Historical Fiction Historical
Robert Louis Stevenson Vladimir Nabokov Mervyn Peake Dan Chaon,the strange case of dr. jekyll and mr. hyde,Classics Fiction Horror Science Fiction Mystery Gothic Fantasy Literature Literature 19th Century Academic School,Robert Louis Stevenson Vladimir Nabokov Mervyn Peake Dan Chaon the strange case of dr. jekyll and mr. hyde Classics Fiction Horror Science Fiction Mystery Gothic Fantasy Literature Literature 19th Century Academic School
